Gender,Marital_Status,Employment_Type,Education_Level,Loan_Purpose,Age,Loan_Amount,Tenure_Months,Income
Male,Divorced,Self-employed,PhD,Education,54,778613,57,172989
Female,Widowed,Unemployed,Diploma,Personal,45,44518,18,1509192
Male,Widowed,Salaried,Master,Education,27,63909,22,876547
Male,Widowed,Unemployed,Master,Business,56,814783,59,326393
Female,Single,Salaried,Diploma,Medical,34,734984,41,1867119
Male,Divorced,Unemployed,Master,Business,56,980834,38,1014329
Male,Married,Salaried,Bachelor,Housing,39,525693,6,684649
Male,Widowed,Unemployed,Bachelor,Medical,43,549570,20,1909608
Male,Single,Salaried,Master,Medical,61,488082,18,349850
Male,Single,Salaried,PhD,Medical,42,249017,22,1904230
Female,Single,Self-employed,Bachelor,Personal,34,424994,29,1459761
Male,Widowed,Unemployed,PhD,Education,30,951768,13,1989512
Female,Married,Self-employed,Master,Business,37,462891,55,91139
Male,Married,Unemployed,Bachelor,Medical,42,801507,32,689207
Male,Married,Self-employed,Bachelor,Medical,21,479164,50,821965
Female,Single,Unemployed,Bachelor,Business,27,713814,28,353446
Female,Widowed,Self-employed,Diploma,Personal,20,38365,51,1324332
Female,Widowed,Salaried,Bachelor,Education,58,475982,13,1448558
Male,Divorced,Self-employed,Bachelor,Education,62,451416,13,1035663
Female,Divorced,Unemployed,Bachelor,Business,35,283146,31,714006
Male,Single,Salaried,PhD,Personal,64,286091,52,1767479
Female,Single,Unemployed,PhD,Personal,53,220294,18,1848432
Female,Single,Self-employed,Bachelor,Education,64,891272,44,1095716
Male,Single,Self-employed,PhD,Housing,39,126219,42,1776721
Female,Married,Self-employed,High School,Personal,51,350754,54,914785
Male,Widowed,Self-employed,Diploma,Medical,64,848574,33,1449712
Male,Married,Self-employed,Bachelor,Medical,25,590595,30,887860
Female,Divorced,Unemployed,Diploma,Housing,57,145565,21,1646641
Female,Widowed,Unemployed,Bachelor,Medical,61,789383,7,107939
Female,Married,Self-employed,Bachelor,Education,36,322229,59,1544818
Female,Married,Unemployed,Diploma,Housing,59,568516,23,1971458
Male,Married,Unemployed,Master,Housing,58,745036,22,73548
Male,Divorced,Unemployed,Bachelor,Business,54,979379,35,506437
Female,Single,Unemployed,Diploma,Education,23,434871,44,1748413
Male,Divorced,Salaried,Diploma,Housing,43,577760,18,483917
Female,Married,Salaried,PhD,Business,51,845869,37,494503
Male,Divorced,Unemployed,Master,Personal,62,976920,55,187799
Female,Widowed,Self-employed,Master,Personal,23,856143,34,815820
Male,Married,Unemployed,PhD,Education,54,147888,51,231789
Male,Divorced,Salaried,Master,Education,50,87175,35,475643
Female,Single,Salaried,Bachelor,Education,39,598595,23,1770628
Female,Widowed,Salaried,Master,Housing,38,318877,18,1654489
Female,Divorced,Salaried,High School,Business,23,924634,48,1909926
Male,Widowed,Unemployed,PhD,Education,23,105028,26,484352
Female,Married,Salaried,Diploma,Medical,21,519666,35,1999834
Female,Married,Self-employed,Diploma,Medical,47,152312,26,1737745
Male,Widowed,Self-employed,PhD,Personal,28,501450,53,1544201
Female,Single,Self-employed,Diploma,Business,47,102493,22,852009
Male,Divorced,Self-employed,Diploma,Education,48,135149,45,1445875
Female,Single,Salaried,High School,Personal,41,763704,24,161776
Male,Widowed,Unemployed,Master,Education,26,212435,57,935678
Male,Married,Unemployed,Master,Medical,20,173834,20,1856860
Female,Single,Salaried,Diploma,Personal,48,280403,14,832119
Male,Single,Unemployed,Master,Business,57,191211,57,563624
Male,Divorced,Salaried,Diploma,Education,54,925207,15,262803
Male,Single,Unemployed,Master,Education,53,286993,49,208761
Male,Divorced,Self-employed,PhD,Education,41,353912,36,1765090
Female,Widowed,Unemployed,PhD,Business,48,378252,58,547873
Male,Single,Self-employed,High School,Education,23,886141,28,407092
Male,Married,Unemployed,Master,Education,19,327013,57,71341
Male,Widowed,Unemployed,Bachelor,Business,37,923320,35,409698
Male,Divorced,Salaried,Master,Education,45,73095,38,1304329
Male,Divorced,Salaried,High School,Education,28,127886,57,1992806
Male,Married,Salaried,Diploma,Personal,21,867342,14,358474
Female,Widowed,Salaried,Diploma,Business,32,489926,59,823429
Female,Single,Unemployed,Bachelor,Personal,23,295711,52,1448479
Male,Divorced,Unemployed,PhD,Education,47,45292,6,773776
Male,Divorced,Unemployed,Diploma,Medical,55,84813,49,1879003
Male,Married,Self-employed,Master,Education,19,631424,40,1447527
Female,Single,Salaried,Master,Personal,32,585919,16,869745
Female,Single,Salaried,PhD,Business,28,19885,39,359044
Female,Single,Self-employed,Diploma,Medical,25,987163,21,128840
Male,Widowed,Salaried,High School,Housing,43,195378,14,1264343
Male,Married,Salaried,PhD,Housing,62,862746,37,211297
Female,Divorced,Self-employed,Bachelor,Education,61,337231,20,922504
Female,Widowed,Unemployed,PhD,Business,22,432381,17,1981375
Female,Divorced,Salaried,Master,Medical,23,986433,38,99156
Male,Divorced,Salaried,PhD,Personal,43,470244,50,258281
Male,Married,Self-employed,High School,Housing,21,892430,19,137453
Male,Single,Salaried,High School,Medical,36,584100,13,1781765
Female,Divorced,Self-employed,PhD,Housing,37,715860,13,1048412
Male,Single,Self-employed,High School,Education,50,482367,32,75938
Male,Married,Salaried,Diploma,Education,37,330787,17,109164
Female,Single,Self-employed,Diploma,Personal,29,54900,6,497746
Male,Widowed,Self-employed,Bachelor,Education,64,446162,48,773559
Female,Widowed,Salaried,Diploma,Housing,18,411067,45,634570
Female,Married,Salaried,PhD,Business,43,812720,47,1408521
Male,Married,Unemployed,PhD,Personal,31,82692,56,452681
Female,Single,Unemployed,High School,Education,55,470796,16,1364046
Male,Widowed,Unemployed,Bachelor,Education,54,410584,44,1781530
Male,Single,Self-employed,Master,Medical,28,881868,48,1214395
Female,Married,Salaried,High School,Education,53,761496,36,1365483
Female,Single,Self-employed,Master,Education,30,56403,22,531873
Female,Widowed,Self-employed,PhD,Personal,60,625458,38,191900
Male,Married,Salaried,Master,Personal,20,805600,37,1408308
Male,Divorced,Self-employed,High School,Education,50,322023,34,847653
Male,Divorced,Self-employed,Diploma,Education,23,69871,26,454427
Female,Divorced,Self-employed,PhD,Housing,27,492604,26,587857
Male,Married,Unemployed,PhD,Business,22,501862,45,1326542
Male,Single,Self-employed,Diploma,Business,40,42174,28,87860
Female,Married,Unemployed,Master,Business,27,765111,11,252630
Female,Divorced,Salaried,PhD,Housing,61,233563,27,1930345
Male,Married,Unemployed,Diploma,Personal,19,147653,55,1621801
Male,Single,Self-employed,High School,Medical,30,120155,43,718875
Female,Widowed,Unemployed,Master,Medical,57,343997,42,645983
Female,Widowed,Salaried,High School,Housing,19,860478,50,303078
Male,Widowed,Self-employed,High School,Education,37,321822,56,816887
Male,Married,Unemployed,Diploma,Personal,18,511608,59,418893
Female,Married,Unemployed,Master,Housing,54,823081,13,1054731
Male,Widowed,Unemployed,High School,Personal,26,137795,46,1254552
Female,Married,Salaried,High School,Education,34,98668,54,765295
Male,Married,Salaried,PhD,Personal,26,747685,40,1928798
Female,Married,Self-employed,Bachelor,Education,28,679927,56,1953588
Male,Married,Self-employed,PhD,Medical,32,483620,16,1042652
Female,Married,Self-employed,Bachelor,Personal,41,886338,29,1104212
Female,Divorced,Unemployed,Diploma,Housing,55,773429,54,311578
Female,Married,Self-employed,Bachelor,Personal,52,630307,26,1437849
Male,Married,Unemployed,Diploma,Personal,47,989448,56,333816
Male,Married,Self-employed,PhD,Housing,48,874434,7,1890820
Male,Single,Self-employed,High School,Education,22,563091,45,1326269
Male,Single,Unemployed,Bachelor,Housing,61,683590,24,571393
Female,Married,Unemployed,Bachelor,Education,31,683222,44,1099230
Female,Divorced,Self-employed,Bachelor,Education,28,446571,33,628921
Female,Single,Salaried,Diploma,Education,26,958763,22,1115719
Male,Single,Self-employed,Bachelor,Housing,51,240147,11,630222
Female,Widowed,Salaried,High School,Education,29,565083,24,1428054
Female,Widowed,Unemployed,High School,Housing,52,517820,43,677751
Female,Widowed,Self-employed,Diploma,Business,52,280914,33,175851
Female,Single,Self-employed,Diploma,Personal,18,545381,7,603375
Male,Married,Salaried,PhD,Medical,57,974075,43,716978
Female,Single,Unemployed,Master,Business,39,403409,42,844878
Female,Widowed,Salaried,Bachelor,Business,46,372455,56,1987135
Male,Married,Salaried,Bachelor,Personal,25,289713,57,361011
Male,Divorced,Salaried,Diploma,Business,28,807622,9,494244
Male,Single,Self-employed,High School,Personal,58,859256,27,1945109
Female,Married,Self-employed,Master,Education,54,708112,31,208272
Female,Divorced,Self-employed,PhD,Personal,31,697687,54,276179
Male,Single,Self-employed,Bachelor,Personal,47,314214,48,924506
Female,Widowed,Unemployed,PhD,Personal,52,574485,41,1815401
Female,Widowed,Salaried,High School,Housing,38,536549,18,1601292
Male,Single,Salaried,Master,Education,54,167584,57,1316084
Male,Widowed,Salaried,PhD,Education,22,934220,37,1741286
Male,Divorced,Self-employed,Diploma,Medical,36,358939,22,400036
Female,Divorced,Salaried,Master,Personal,31,301077,46,1318207
Female,Widowed,Salaried,PhD,Business,43,669738,41,432188
Female,Single,Salaried,High School,Medical,21,574871,51,89148
Female,Divorced,Self-employed,High School,Medical,42,384226,24,1967936
Male,Married,Unemployed,High School,Housing,62,881803,40,1250346
Female,Single,Salaried,Diploma,Medical,59,694393,51,485686
Female,Widowed,Salaried,High School,Business,42,427216,45,535287
Male,Single,Salaried,PhD,Medical,35,121032,33,1936668
Male,Married,Self-employed,Diploma,Personal,57,216940,6,1920458
Female,Single,Unemployed,PhD,Housing,25,314748,47,1810399
Male,Divorced,Self-employed,High School,Education,56,471552,23,345901
Female,Single,Unemployed,Diploma,Housing,57,891506,53,128012
Male,Married,Self-employed,Master,Personal,31,236727,45,1991758
Male,Widowed,Unemployed,Bachelor,Housing,49,83869,38,963475
Female,Married,Self-employed,High School,Education,55,801842,17,1037751
Female,Married,Unemployed,Master,Business,50,879807,13,106116
Female,Widowed,Salaried,High School,Medical,40,721404,29,194233
Female,Widowed,Salaried,Master,Personal,32,728675,21,1130728
Female,Divorced,Self-employed,Diploma,Education,50,892487,55,156379
Male,Married,Unemployed,Diploma,Business,42,212416,9,1325481
Female,Widowed,Unemployed,High School,Business,34,934300,43,1119412
Male,Married,Salaried,High School,Medical,50,621004,49,271439
Female,Married,Unemployed,Master,Personal,64,588533,32,1285296
Male,Divorced,Salaried,High School,Medical,19,577344,14,1255979
Male,Single,Salaried,High School,Education,31,420925,52,1240411
Female,Married,Unemployed,PhD,Housing,57,785024,21,905876
Female,Divorced,Salaried,Bachelor,Education,57,330701,17,667397
Female,Single,Unemployed,PhD,Personal,56,289687,36,1248835
Female,Divorced,Unemployed,Diploma,Education,23,440634,29,1241605
Female,Married,Unemployed,Master,Housing,23,759971,19,447595
Male,Widowed,Unemployed,Diploma,Medical,20,506507,50,656306
Female,Married,Salaried,Bachelor,Medical,24,892470,30,1745940
Female,Single,Self-employed,PhD,Personal,25,419940,39,1781041
Male,Widowed,Self-employed,Master,Business,59,275972,8,1492669
Female,Divorced,Unemployed,PhD,Personal,32,126656,29,1802289
Male,Divorced,Unemployed,Bachelor,Housing,64,27087,59,1968796
Female,Married,Salaried,PhD,Business,46,940109,47,1981878
Female,Widowed,Unemployed,High School,Education,50,303481,14,1838521
Female,Married,Self-employed,PhD,Personal,47,146554,31,1444028
Female,Divorced,Salaried,Bachelor,Medical,56,861765,25,1543359
Female,Widowed,Self-employed,Master,Housing,44,495757,45,370057
Female,Married,Unemployed,Bachelor,Housing,53,192024,15,576925
Female,Married,Self-employed,Diploma,Medical,46,146535,24,515994
Female,Married,Salaried,Master,Business,55,777524,8,878457
Male,Widowed,Self-employed,Master,Housing,50,604736,29,1860853
Male,Widowed,Salaried,Bachelor,Medical,54,538936,10,806547
Male,Married,Unemployed,Diploma,Personal,44,402720,8,411652
Female,Married,Salaried,Diploma,Housing,50,305767,32,656752
Female,Married,Salaried,Master,Medical,21,462372,21,1389462
Female,Divorced,Unemployed,Master,Personal,39,45634,54,586119
Male,Married,Self-employed,Diploma,Medical,19,972106,20,163768
Male,Married,Unemployed,Master,Medical,27,386742,40,821271
Male,Married,Unemployed,Master,Housing,22,321478,17,1445812
Male,Married,Salaried,Diploma,Medical,27,865080,46,927311
Male,Widowed,Salaried,PhD,Business,50,556342,58,1973378
Female,Single,Salaried,Bachelor,Personal,55,604316,49,962969
Male,Divorced,Unemployed,Diploma,Business,30,556495,31,1014266
Male,Widowed,Unemployed,PhD,Personal,48,483866,52,679112
Male,Married,Salaried,Master,Personal,64,765181,39,1066462
Female,Widowed,Self-employed,Master,Housing,53,615842,28,1187317
Male,Divorced,Salaried,High School,Medical,62,686746,36,1117406
Female,Widowed,Unemployed,High School,Business,41,617564,55,1415764
Female,Widowed,Salaried,Master,Personal,32,987022,25,910380
Male,Single,Salaried,High School,Business,46,324925,17,119202
Male,Divorced,Self-employed,Bachelor,Medical,25,718140,28,349189
Female,Married,Salaried,Diploma,Education,22,202512,9,267394
Male,Married,Self-employed,Master,Personal,46,971703,28,1609049
Male,Married,Salaried,High School,Personal,64,857467,53,1300699
Female,Married,Unemployed,Master,Business,21,542498,53,1992517
Female,Divorced,Salaried,Diploma,Housing,29,578651,6,207699
Female,Married,Self-employed,PhD,Medical,62,776535,59,327342
Female,Single,Self-employed,High School,Education,19,612567,30,905953
Female,Single,Salaried,Bachelor,Education,44,201420,7,554655
Female,Widowed,Salaried,Diploma,Business,48,720644,35,1729335
Male,Married,Unemployed,High School,Medical,53,510844,8,1914483
Female,Widowed,Self-employed,Master,Housing,53,213196,26,286824
Female,Divorced,Salaried,PhD,Medical,43,209919,30,1610790
Female,Divorced,Self-employed,Diploma,Education,60,425648,25,1117979
Male,Divorced,Unemployed,PhD,Housing,44,267324,54,1102257
Female,Single,Self-employed,Bachelor,Education,22,729449,57,403699
Male,Single,Salaried,PhD,Business,37,982902,27,1978130
Male,Single,Unemployed,PhD,Business,28,764651,26,1098072
Female,Single,Self-employed,Master,Business,27,668681,38,1738124
Male,Married,Salaried,Bachelor,Medical,57,877780,57,1796228
Female,Married,Salaried,High School,Medical,55,440599,43,679674
Male,Married,Self-employed,High School,Education,23,385960,20,1856242
Female,Married,Salaried,PhD,Education,25,744042,51,448845
Female,Divorced,Self-employed,Master,Medical,40,657341,57,143246
Male,Divorced,Self-employed,High School,Personal,64,482406,20,1194440
Female,Married,Self-employed,Master,Education,43,193965,51,258886
Female,Divorced,Unemployed,Diploma,Business,63,176892,30,320561
Male,Married,Salaried,Master,Education,60,862694,26,1479608
Male,Widowed,Salaried,Master,Housing,29,144832,29,1264413
Male,Single,Unemployed,Diploma,Education,43,163262,10,910931
Female,Single,Self-employed,Master,Personal,30,77411,11,1343736
Male,Widowed,Self-employed,High School,Education,57,295521,54,237646
Female,Divorced,Self-employed,PhD,Education,35,449953,48,1070332
Male,Married,Self-employed,PhD,Education,42,997073,53,1582337
Female,Single,Self-employed,Bachelor,Business,50,48211,49,833566
Female,Single,Unemployed,Diploma,Medical,64,223981,52,864107
Male,Divorced,Unemployed,PhD,Business,57,275888,28,1355257
Male,Married,Self-employed,Master,Education,60,790926,9,1564059
Male,Single,Salaried,PhD,Business,29,297139,32,1794499
Female,Widowed,Unemployed,Master,Housing,61,682337,23,585620
Male,Single,Unemployed,High School,Housing,53,763298,26,829105
Male,Widowed,Salaried,Master,Housing,21,568830,33,855609
Female,Widowed,Unemployed,Bachelor,Education,22,20651,40,966992
Female,Married,Unemployed,PhD,Personal,54,109239,27,270326
Male,Widowed,Unemployed,Diploma,Personal,25,875363,45,773807
Female,Married,Self-employed,High School,Personal,59,760704,28,1360425
Female,Single,Salaried,Master,Business,45,898544,8,369248
Male,Widowed,Unemployed,Diploma,Education,48,813147,45,396479
Female,Single,Salaried,PhD,Medical,26,447625,55,1475658
Male,Single,Salaried,Diploma,Housing,46,165378,15,1179306
Female,Single,Unemployed,Diploma,Personal,31,160158,30,1496743
Female,Widowed,Salaried,Master,Personal,57,417592,57,1336050
Male,Divorced,Self-employed,PhD,Education,58,333494,54,340477
Female,Divorced,Unemployed,High School,Medical,39,343569,13,333817
Male,Divorced,Self-employed,High School,Business,28,506574,16,950853
Female,Divorced,Unemployed,High School,Personal,40,439852,10,1663734
Female,Single,Salaried,Diploma,Housing,18,882552,50,303017
Female,Single,Salaried,PhD,Personal,63,911321,58,701824
Male,Widowed,Unemployed,Bachelor,Education,54,454865,42,383245
Female,Married,Salaried,High School,Housing,38,437826,50,859253
Female,Married,Unemployed,Master,Housing,43,675418,43,1124070
Female,Single,Self-employed,Master,Medical,63,265948,34,1722341
Female,Widowed,Salaried,Diploma,Personal,53,531481,10,1486803
Male,Widowed,Unemployed,Bachelor,Housing,40,871069,14,1828096
Male,Widowed,Self-employed,High School,Personal,18,481249,53,424842
Male,Married,Self-employed,Diploma,Personal,57,866626,7,423704
Female,Married,Salaried,Master,Housing,32,873349,6,1492627
Male,Widowed,Unemployed,High School,Housing,38,74200,45,1092630
Female,Married,Unemployed,High School,Medical,64,115848,56,330790
Female,Widowed,Unemployed,Bachelor,Personal,26,116022,35,173777
Male,Single,Self-employed,Diploma,Personal,26,711979,16,1700224
Female,Married,Self-employed,High School,Business,27,944658,33,1398055
Male,Married,Salaried,PhD,Housing,43,422755,49,905783
Female,Married,Self-employed,PhD,Personal,58,790741,17,951366
Male,Divorced,Unemployed,PhD,Medical,52,856490,44,183501
Female,Widowed,Unemployed,High School,Personal,42,72068,31,1402670
Male,Divorced,Self-employed,PhD,Medical,43,480529,18,634942
Male,Married,Salaried,Master,Housing,28,896364,13,419566
Female,Married,Salaried,Diploma,Housing,55,171445,59,1470654
Male,Divorced,Unemployed,High School,Medical,19,698514,33,169975
Female,Widowed,Salaried,Diploma,Education,24,147103,35,773503
Male,Widowed,Salaried,Master,Business,35,234605,14,1451906
Female,Married,Unemployed,Bachelor,Education,44,213047,44,1464954
Male,Widowed,Salaried,High School,Business,51,819217,36,1725190
Female,Single,Unemployed,High School,Personal,44,259768,26,1176103
Female,Single,Self-employed,High School,Education,34,694029,52,398848
Male,Married,Salaried,Master,Housing,60,104475,39,1531177
Female,Widowed,Self-employed,Master,Education,61,520370,36,216991
Female,Single,Unemployed,Master,Education,41,536570,57,146952
Male,Widowed,Self-employed,PhD,Education,42,699984,30,1945790
Female,Widowed,Salaried,PhD,Housing,24,713798,17,383260
Female,Divorced,Self-employed,Bachelor,Personal,23,230972,6,515806
Female,Single,Self-employed,Bachelor,Personal,41,863966,27,926058
Male,Widowed,Unemployed,Diploma,Housing,50,172777,45,1532179
Male,Widowed,Salaried,Master,Personal,46,965748,42,1769759
Male,Divorced,Unemployed,PhD,Education,60,871396,52,96015
Male,Widowed,Unemployed,PhD,Business,39,702797,6,152877
Female,Single,Salaried,Diploma,Business,43,218944,6,1376059
Female,Divorced,Self-employed,Master,Medical,45,653294,47,1621741
Female,Married,Unemployed,High School,Medical,38,246440,59,1757427
Female,Married,Self-employed,Bachelor,Housing,24,738342,47,443922
Male,Widowed,Self-employed,PhD,Personal,34,322727,26,1720357
Male,Single,Salaried,PhD,Housing,37,834824,20,721088
Female,Single,Unemployed,PhD,Housing,58,17461,22,974501
Female,Married,Self-employed,Master,Housing,37,634411,27,1595329
Male,Single,Unemployed,Bachelor,Housing,39,806948,43,765768
Female,Divorced,Self-employed,Bachelor,Education,45,482501,40,1025601
Female,Single,Self-employed,PhD,Business,57,158586,50,441670
Female,Widowed,Self-employed,Master,Medical,24,393395,21,481739
Female,Widowed,Salaried,PhD,Business,18,504178,13,1744512
Female,Single,Self-employed,High School,Medical,49,963772,52,1385883
Female,Widowed,Salaried,High School,Personal,30,241496,22,1771654
Female,Widowed,Salaried,Diploma,Personal,47,702148,22,661796
Female,Single,Salaried,Diploma,Medical,40,741109,59,789127
Male,Married,Salaried,High School,Medical,36,726409,31,1400339
Female,Married,Unemployed,Master,Education,49,858925,18,1372846
Female,Divorced,Self-employed,PhD,Medical,47,570315,22,1687790
Female,Divorced,Salaried,Master,Education,46,889979,43,90633
Female,Divorced,Unemployed,Bachelor,Education,62,183921,22,1307302
Female,Married,Self-employed,Master,Personal,46,896559,53,1101893
Male,Single,Self-employed,Diploma,Education,47,683218,19,357124
Male,Widowed,Self-employed,High School,Personal,33,749522,50,880547
Female,Single,Salaried,PhD,Education,57,613291,11,1815582
Male,Divorced,Unemployed,PhD,Housing,36,717755,40,1928166
Female,Married,Salaried,Bachelor,Medical,35,574046,51,761323
Female,Married,Unemployed,PhD,Business,18,326456,19,1539423
Female,Divorced,Salaried,Diploma,Housing,31,340814,52,1803252
Male,Divorced,Salaried,High School,Education,64,92279,13,1466084
Female,Married,Self-employed,PhD,Housing,19,25434,20,1551134
Male,Divorced,Unemployed,Master,Medical,45,729407,59,1376224
Female,Married,Unemployed,Bachelor,Education,47,450991,32,773953
Female,Single,Self-employed,Bachelor,Medical,55,347913,18,469876
Female,Widowed,Unemployed,Diploma,Personal,21,780042,54,1922204
Female,Widowed,Salaried,Master,Business,18,338821,36,1950946
Female,Widowed,Unemployed,Bachelor,Personal,25,93555,58,976109
Male,Widowed,Self-employed,PhD,Personal,46,662667,40,1418108
Male,Married,Self-employed,PhD,Business,56,751280,11,1310945
Female,Divorced,Unemployed,PhD,Medical,20,773799,10,1678365
Male,Married,Self-employed,Master,Business,49,186806,27,758669
Male,Divorced,Unemployed,Bachelor,Personal,27,898097,54,77043
Female,Married,Self-employed,High School,Personal,27,491719,28,83635
Male,Married,Self-employed,Bachelor,Housing,36,443819,30,260387
Male,Widowed,Unemployed,Bachelor,Business,63,479924,39,1179267
Male,Widowed,Self-employed,High School,Medical,51,78803,31,549730
Male,Married,Unemployed,High School,Medical,50,442548,52,1918140
Male,Married,Unemployed,Master,Personal,40,888135,10,1056891
Female,Married,Unemployed,Bachelor,Education,45,817744,31,1900374
Male,Single,Salaried,Diploma,Housing,49,758736,25,1192520
Male,Married,Self-employed,Diploma,Business,24,487742,11,777467
Male,Married,Self-employed,Bachelor,Housing,46,709539,11,505796
Female,Divorced,Salaried,Master,Medical,25,736802,55,951699
Male,Single,Self-employed,Bachelor,Education,18,255404,23,1614154
Female,Married,Salaried,High School,Education,20,652249,9,1047057
Male,Divorced,Salaried,High School,Housing,41,312523,22,1137812
Male,Married,Unemployed,PhD,Personal,40,27297,19,1364870
Male,Widowed,Salaried,PhD,Medical,25,798443,19,1472089
Female,Divorced,Unemployed,Diploma,Education,64,519346,18,855855
Male,Single,Salaried,High School,Education,54,130234,12,1627001
Male,Married,Self-employed,Master,Medical,20,578302,49,604280
Male,Widowed,Salaried,Master,Personal,50,777454,20,1995548
Male,Widowed,Salaried,Diploma,Education,45,939242,24,1061942
Male,Single,Unemployed,PhD,Housing,64,890765,48,165140
Male,Widowed,Salaried,PhD,Medical,25,188570,52,225993
Female,Widowed,Self-employed,High School,Housing,51,793152,49,1744089
Female,Divorced,Self-employed,Bachelor,Medical,52,807552,40,1571161
Male,Married,Self-employed,Master,Business,49,519733,22,903349
Male,Married,Salaried,Bachelor,Housing,41,936271,40,1434410
Male,Single,Self-employed,PhD,Housing,31,294996,24,1394955
Female,Widowed,Unemployed,High School,Business,49,351383,25,260047
Female,Single,Unemployed,Diploma,Medical,63,404145,41,1641986
Male,Married,Self-employed,Diploma,Medical,60,742847,40,336100
Female,Married,Self-employed,Bachelor,Personal,33,521603,37,113879
Female,Widowed,Self-employed,PhD,Housing,21,625863,53,632848
Female,Married,Salaried,Master,Education,54,517365,49,1088939
Female,Widowed,Self-employed,Master,Medical,38,629328,45,422454
Female,Widowed,Salaried,PhD,Personal,31,158510,29,774045
Male,Married,Self-employed,Bachelor,Personal,48,189587,22,992164
Female,Widowed,Unemployed,Master,Education,35,540032,12,1095533
Female,Single,Salaried,PhD,Housing,24,749180,48,1335844
Female,Divorced,Unemployed,High School,Personal,27,445633,55,529280
Male,Married,Unemployed,PhD,Housing,24,934573,6,1606232
Male,Widowed,Self-employed,Diploma,Education,50,838791,40,837600
Male,Divorced,Self-employed,High School,Personal,40,685159,37,357268
Female,Single,Salaried,Diploma,Personal,38,370890,41,1789833
Female,Married,Salaried,PhD,Medical,36,759122,18,720392
Female,Single,Unemployed,High School,Housing,36,655194,11,1413517
Male,Widowed,Salaried,Diploma,Education,53,211260,19,1920302
Male,Married,Salaried,PhD,Personal,46,755219,42,1535619
Female,Single,Self-employed,Diploma,Business,35,787881,53,1888524
Male,Widowed,Salaried,Diploma,Personal,19,773034,20,1249399
Female,Single,Unemployed,Diploma,Housing,18,541885,52,604661
Female,Married,Self-employed,Diploma,Housing,64,843525,9,172026
Male,Divorced,Salaried,Diploma,Medical,22,440442,45,1128846
Male,Divorced,Unemployed,Master,Business,37,213199,21,977890
Female,Single,Salaried,High School,Housing,28,386794,33,1331507
Male,Widowed,Self-employed,PhD,Medical,59,494585,21,1818753
Male,Married,Salaried,Master,Education,19,742722,9,1163760
Male,Widowed,Unemployed,Diploma,Education,20,691777,50,557532
Female,Divorced,Self-employed,Master,Personal,40,946197,31,785053
Female,Divorced,Unemployed,Bachelor,Business,29,482890,33,612167
Male,Divorced,Self-employed,Master,Personal,37,393100,37,1072560
Female,Divorced,Salaried,Master,Personal,22,125598,50,361741
Female,Divorced,Self-employed,Diploma,Business,54,260100,7,1006636
Male,Single,Self-employed,Diploma,Business,55,792877,36,53626
Male,Single,Salaried,Bachelor,Housing,47,718521,8,1708800
Female,Divorced,Self-employed,Diploma,Medical,26,786676,59,1593971
Male,Single,Self-employed,PhD,Housing,51,143241,13,1857737
Male,Single,Unemployed,High School,Housing,61,749452,29,1704379
Female,Widowed,Self-employed,PhD,Personal,52,163124,20,258137
Male,Divorced,Unemployed,Diploma,Medical,39,475065,48,1678254
Male,Married,Salaried,High School,Medical,61,214923,36,984149
Female,Widowed,Unemployed,High School,Medical,41,18036,14,797320
Female,Widowed,Unemployed,Diploma,Medical,34,566066,44,1677008
Male,Single,Self-employed,Bachelor,Housing,27,955238,50,194454
Male,Divorced,Self-employed,PhD,Business,47,164245,7,1626889
Male,Widowed,Salaried,High School,Medical,63,695763,13,486442
Female,Widowed,Unemployed,Diploma,Medical,40,993825,12,1440100
Male,Married,Salaried,High School,Education,49,212747,49,304043
Female,Widowed,Self-employed,Bachelor,Medical,34,933848,56,693198
Female,Married,Self-employed,Bachelor,Business,34,553088,44,512927
Female,Married,Salaried,Master,Personal,31,297516,47,670343
Female,Single,Unemployed,PhD,Housing,26,333660,21,1486909
Male,Divorced,Self-employed,Master,Business,57,816970,40,780070
Female,Widowed,Unemployed,Bachelor,Education,19,860350,35,970947
Male,Divorced,Unemployed,Diploma,Business,62,942477,15,857827
Male,Married,Salaried,Master,Education,42,343299,43,1895733
Male,Widowed,Salaried,Bachelor,Business,56,765600,23,1656325
Female,Divorced,Self-employed,PhD,Personal,26,69500,55,1356648
Female,Single,Self-employed,Bachelor,Housing,39,177647,10,1663979
Male,Single,Unemployed,Diploma,Business,60,246527,58,160084
Female,Widowed,Self-employed,Bachelor,Personal,63,445477,34,1064391
Female,Divorced,Self-employed,Bachelor,Housing,21,644947,44,395876
Female,Single,Salaried,PhD,Housing,43,562004,39,1079649
Male,Widowed,Self-employed,High School,Education,46,406452,48,523006
Male,Divorced,Salaried,Bachelor,Business,62,419064,50,1440277
Male,Single,Unemployed,Master,Medical,51,12352,28,907692
Male,Married,Self-employed,High School,Personal,40,143004,10,1782626
Female,Single,Unemployed,Bachelor,Education,54,872881,35,837839
Male,Divorced,Self-employed,PhD,Education,28,542844,11,123568
Male,Widowed,Unemployed,Master,Housing,23,796261,51,1157136
Male,Single,Self-employed,Diploma,Business,35,358980,49,1014844
Male,Divorced,Salaried,Diploma,Education,38,670858,9,1247442
Female,Divorced,Unemployed,Bachelor,Business,59,741478,34,1249529
Male,Divorced,Unemployed,Diploma,Education,53,60098,28,1840228
